time, pressure (hPa), altitude_raw (ft), acceleration_raw_x (ft/s^2), acceleration_raw_y, acceleration_raw_z, gyro_x (radians/s), gyro_y, gyro_z, altitude_filtered (ft), velocity_filtered (ft/s), acceleration_filtered (ft/s^2), temperature (from IMU, degrees C), ats_position (servo degrees)
235327,975.76,316.90,-15.34,128.58,-11.48,-0.09,-0.06,-0.11,1034.27,165.90,130.29,13.21,0.00
235358,975.51,319.07,-12.10,128.58,-12.54,-0.16,-0.04,-0.09,1040.20,170.52,130.00,13.25,0.00
235387,975.26,321.20,-6.57,128.58,-14.34,-0.18,-0.03,-0.03,1046.37,175.23,129.76,13.20,0.00
235417,975.02,323.29,-6.58,128.58,-16.66,-0.20,0.00,0.06,1052.76,179.98,129.80,13.19,0.00
235447,974.76,325.52,-8.72,128.58,-21.47,-0.20,-0.02,0.14,1059.38,184.82,130.27,13.19,0.00
235478,974.48,327.88,-12.82,128.58,-22.37,-0.16,-0.02,0.21,1066.26,189.78,130.75,13.17,0.00
235507,974.17,330.58,-22.03,128.58,-26.57,-0.09,0.12,0.20,1073.52,194.94,132.04,13.20,0.00
235537,973.83,333.51,-26.85,128.58,-28.44,0.00,0.26,0.11,1081.19,200.36,133.33,13.23,0.00
235567,973.49,336.40,-22.91,128.58,-28.94,0.10,0.35,0.00,1089.22,205.95,133.58,13.21,0.00
235597,973.17,339.17,-20.27,128.58,-18.89,0.18,0.45,-0.07,1097.52,211.60,132.48,13.18,0.00
235627,972.81,342.26,-18.21,128.58,-11.00,0.15,0.50,-0.08,1106.19,217.37,131.32,13.18,0.00
235657,972.45,345.34,-16.42,128.58,-7.07,0.11,0.55,-0.08,1115.18,223.25,130.52,13.18,0.00
235688,972.07,348.63,-14.50,128.58,-1.87,0.00,0.56,-0.09,1124.55,229.26,129.93,13.18,0.00
235717,971.67,352.09,-12.00,128.58,0.58,-0.23,0.55,-0.11,1134.31,235.44,129.51,13.20,0.00
235747,971.23,355.87,-3.22,128.58,-1.46,-0.31,0.51,-0.08,1144.55,241.84,129.05,13.22,0.00
235777,970.72,360.23,-5.49,128.16,-3.34,-0.31,0.51,-0.05,1155.44,248.61,128.67,13.20,0.00
235808,970.16,365.08,0.16,104.04,-12.22,-0.36,0.51,-0.00,1167.10,255.51,115.73,13.22,0.00
235837,969.47,371.01,1.49,41.09,-13.92,-0.58,0.54,0.05,1179.85,262.11,76.58,13.21,0.00
235867,968.66,378.06,0.91,0.30,-11.37,-0.44,0.64,0.05,1194.01,268.62,41.31,13.19,0.00
235898,967.79,385.56,-0.73,-19.22,-15.56,-0.50,0.65,0.01,1209.59,275.74,32.36,13.18,0.06
235927,966.96,392.73,5.63,-33.09,-4.18,-1.65,0.61,0.23,1226.31,283.59,33.18,13.18,0.33
235957,965.88,402.06,-2.34,-29.25,-4.83,-0.03,0.77,0.05,1244.90,292.73,31.36,13.18,0.30
235987,964.97,409.99,0.62,-26.87,-3.41,0.06,0.79,0.04,1264.61,302.50,29.09,13.18,0.36
236018,964.10,417.49,1.00,-27.63,-0.52,0.03,0.81,0.06,1285.17,312.69,28.35,13.19,0.42
236047,963.28,424.62,3.56,-28.06,-2.37,-0.03,0.83,0.05,1306.34,323.13,28.41,13.21,0.45
236111,962.46,437.04,-2.16,-29.06,0.69,-0.07,0.77,0.00,1336.82,334.66,28.89,13.16,0.45
236141,961.02,444.22,0.67,-27.40,-12.97,-0.11,0.79,-0.01,1360.58,347.30,29.75,13.20,0.42
236167,960.16,451.67,1.25,-29.19,-7.67,-0.11,0.83,0.01,1384.70,359.80,30.06,13.18,0.39
236201,959.34,458.79,6.12,-29.20,-9.88,-0.18,0.88,0.03,1408.99,372.05,30.86,13.17,0.39
236231,958.55,465.72,10.37,-29.15,-16.57,-0.05,0.89,0.07,1433.36,384.05,33.21,13.23,0.36
236262,957.82,472.07,4.88,-33.23,-5.24,-0.08,0.92,0.12,1457.57,395.57,33.68,13.21,0.30
236291,957.10,478.33,-0.26,-31.72,-6.08,-0.05,0.93,0.11,1481.60,406.58,32.98,13.21,0.27
236316,956.42,484.30,-0.99,-33.27,-5.61,-0.10,0.94,0.10,1505.35,417.05,33.44,13.20,0.30
236347,955.77,489.94,7.80,-31.59,-15.80,-0.06,0.96,0.13,1528.71,426.96,34.96,13.19,0.27
236376,955.10,495.80,2.69,-32.66,-6.57,-0.05,0.92,0.11,1551.81,436.37,34.16,13.23,0.24
236406,954.44,501.54,-1.48,-31.06,-14.10,-0.01,0.95,0.12,1574.62,445.29,34.19,13.21,0.27
236436,953.81,507.06,1.40,-31.44,-11.42,0.04,0.97,0.11,1597.09,453.69,33.84,13.19,0.27
236467,953.18,512.55,0.48,-30.19,-7.59,0.04,1.01,0.10,1619.23,461.57,32.41,13.18,0.27
236496,952.57,517.93,-3.06,-32.26,-1.46,-0.00,1.04,0.03,1641.03,468.97,32.45,13.21,0.33
236526,951.97,523.16,2.20,-29.67,-5.74,0.03,0.99,0.12,1662.46,475.85,31.31,13.21,0.30
236557,951.40,528.13,2.33,-29.87,-0.81,-0.08,0.96,0.08,1683.46,482.19,30.61,13.21,0.36
236586,950.77,533.67,1.79,-32.14,1.12,-0.08,0.92,0.03,1704.28,488.25,31.50,13.21,0.36
236616,950.37,537.15,-0.48,-29.88,0.10,-0.09,0.83,0.04,1724.13,493.36,30.64,13.24,0.33
236646,949.99,540.54,5.65,-30.85,-4.98,-0.11,0.77,0.08,1743.07,497.62,31.26,13.20,0.36
236677,949.35,546.09,-0.26,-28.82,-0.82,-0.16,0.78,0.00,1762.03,501.77,29.96,13.23,0.36
236706,948.68,552.02,6.97,-30.82,-10.59,-0.12,0.77,0.08,1781.16,505.99,31.80,13.23,0.39
236736,948.02,557.81,4.52,-28.83,-16.86,-0.11,0.82,0.08,1800.38,510.22,32.84,13.20,0.33
236767,947.33,563.92,3.61,-28.67,-12.64,-0.03,0.87,0.10,1819.82,514.51,32.15,13.17,0.30
236796,946.63,569.99,2.88,-28.36,-13.07,0.04,0.89,0.12,1839.42,518.82,31.73,13.21,0.33
236826,945.97,575.81,1.75,-29.26,-8.75,0.05,0.92,0.12,1859.08,523.05,31.13,13.23,0.33
236856,945.34,581.37,0.33,-29.09,-2.18,0.03,0.92,0.10,1878.67,527.10,30.09,13.19,0.36
236887,944.74,586.68,-3.90,-28.99,-0.38,0.00,0.90,0.06,1898.12,530.92,29.65,13.21,0.39
236916,944.28,590.72,-2.23,-28.94,1.86,-0.04,0.84,0.07,1916.92,534.12,29.35,13.20,0.39
236946,943.89,594.15,-0.54,-29.09,-0.59,-0.05,0.82,0.01,1934.91,536.58,29.22,13.22,0.42
236977,943.41,598.37,1.01,-27.92,-2.00,-0.10,0.76,0.03,1952.47,538.61,28.57,13.25,0.42
237006,942.85,603.38,3.01,-28.16,-5.12,-0.09,0.75,-0.03,1969.95,540.53,28.69,13.22,0.42
237036,942.18,609.23,2.93,-27.56,-6.68,-0.15,0.76,0.00,1987.68,542.60,28.59,13.20,0.42
237066,941.51,615.21,5.83,-27.45,-9.02,-0.10,0.75,0.00,2005.70,544.87,29.08,13.21,0.42
237097,940.84,621.05,5.22,-27.03,-11.16,-0.08,0.73,0.04,2023.91,547.25,29.42,13.22,0.42
237126,940.20,626.77,5.72,-26.33,-10.67,-0.02,0.75,0.07,2042.25,549.68,29.19,13.22,0.39
237156,939.58,632.28,4.84,-26.78,-8.40,-0.00,0.75,0.10,2060.62,552.07,28.82,13.18,0.42
237187,938.97,637.67,2.07,-26.14,-8.52,0.01,0.74,0.10,2078.98,554.36,28.15,13.19,0.42
237216,938.38,642.90,2.30,-25.82,-5.41,0.04,0.77,0.12,2097.25,556.50,27.25,13.21,0.45
237246,937.79,648.06,-1.06,-26.36,-3.21,0.03,0.78,0.10,2115.42,558.50,26.89,13.23,0.48
237276,937.23,653.02,-0.67,-26.08,-2.93,-0.00,0.75,0.09,2133.41,560.29,26.55,13.23,0.48
237307,936.70,657.78,-0.82,-26.48,-4.04,-0.01,0.75,0.07,2151.17,561.86,26.69,13.20,0.48
237336,936.16,662.53,-1.22,-26.46,-3.02,-0.04,0.75,0.04,2168.71,563.20,26.67,13.21,0.48
237366,935.64,667.14,-0.37,-25.44,-4.93,-0.04,0.75,0.02,2185.99,564.30,26.26,13.23,0.48
